"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4536,"bounds",1714,-46,"2025-01-26",NA,"TEMP141"
4536,"event",1284,350,"2025-01-26",NA,"TEMP142"
4537,"bounds",754,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP143"
4537,"event",484,184,"2025-01-21",NA,"TEMP144"
4538,"bounds",1244,844,"2025-01-21",NA,"TEMP145"
4538,"event",1124,964,"2025-01-21",NA,"TEMP146"
4539,"bounds",37144,1,"2025-01-26",NA,"TEMP147"
4539,"event",34544,1,"2025-01-26",NA,"TEMP148"
4540,"bounds",42854,6054,"2025-01-21",NA,"TEMP149"
4540,"event",31654,17254,"2025-01-21",NA,"TEMP150"
4541,"bounds",18777,11442,"2025-01-26",NA,"TEMP151"
4541,"event",17507,12472,"2025-01-26",NA,"TEMP152"
4542,"bounds",26000,414,"2025-01-26",NA,"TEMP153"
4542,"event",26000,654,"2025-01-26",NA,"TEMP154"
4544,"bounds",6074,2964,"2025-01-26",NA,"TEMP155"
4544,"event",5464,3484,"2025-01-26",NA,"TEMP156"
4553,"bounds",14834,1124,"2025-01-26",NA,"TEMP157"
4553,"event",14334,1352,"2025-01-26",NA,"TEMP158"
4564,"bounds",11654,10804,"2025-01-21",NA,"TEMP159"
4564,"event",11414,11094,"2025-01-21",NA,"TEMP160"
4565,"bounds",23464,17444,"2025-01-21",NA,"TEMP161"
4565,"event",21454,19454,"2025-01-21",NA,"TEMP162"
4566,"bounds",57700,19800,"2025-01-21",NA,"TEMP163"
4566,"event",45700,31400,"2025-01-21",NA,"TEMP164"
4567,"bounds",14994,8754,"2025-01-21",NA,"TEMP165"
4567,"event",12984,10764,"2025-01-21",NA,"TEMP166"
4568,"bounds",5954,3494,"2025-01-21",NA,"TEMP167"
4568,"event",5134,4324,"2025-01-21",NA,"TEMP168"
4570,"bounds",7624,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP169"
4570,"event",5274,57,"2025-01-26",NA,"TEMP170"
4571,"bounds",15504,12734,"2025-01-21",NA,"TEMP171"
4571,"event",14594,13654,"2025-01-21",NA,"TEMP172"
4577,"bounds",13354,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP173"
4577,"event",9154,3784,"2025-01-21",NA,"TEMP174"
4579,"bounds",20614,7394,"2025-04-22",NA,"TEMP175"
4579,"event",19514,8154,"2025-04-22",NA,"TEMP176"
4582,"bounds",20104,11454,"2025-01-21",NA,"TEMP177"
4582,"event",17194,14314,"2025-01-21",NA,"TEMP178"
4592,"bounds",19434,0,"2025-01-26",NA,"TEMP179"
4592,"event",16064,0,"2025-01-26",NA,"TEMP180"
4593,"bounds",15874,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP181"
4593,"event",10784,434,"2025-01-26",NA,"TEMP182"
4594,"bounds",10400,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP183"
4594,"event",6300,800,"2025-01-26",NA,"TEMP184"
4595,"bounds",18404,13514,"2025-01-21",NA,"TEMP185"
4595,"event",16894,15044,"2025-01-21",NA,"TEMP186"
4596,"bounds",9674,954,"2025-01-26",NA,"TEMP187"
4596,"event",8604,2534,"2025-01-26",NA,"TEMP188"
4597,"bounds",15714,2984,"2025-01-26",NA,"TEMP189"
4597,"event",12804,3834,"2025-01-26",NA,"TEMP190"
4599,"bounds",11664,1164,"2025-01-21",NA,"TEMP191"
4599,"event",8494,4384,"2025-01-21",NA,"TEMP192"
4600,"bounds",13174,11414,"2025-01-21",NA,"TEMP193"
4600,"event",12594,0,"2025-01-21",NA,"TEMP194"
4602,"bounds",13834,11814,"2025-01-21",NA,"TEMP195"
4602,"event",13134,12504,"2025-01-21",NA,"TEMP196"
4603,"bounds",9324,7794,"2025-01-21",NA,"TEMP197"
4603,"event",8814,8324,"2025-01-21",NA,"TEMP198"
4604,"bounds",13224,1874,"2025-01-21",NA,"TEMP199"
4604,"event",9634,5464,"2025-01-21",NA,"TEMP200"
4605,"bounds",10674,0,"2025-01-26",NA,"TEMP201"
4605,"event",10424,0,"2025-01-26",NA,"TEMP202"
4606,"bounds",18024,5000,"2025-01-21",NA,"TEMP203"
4606,"event",15374,5000,"2025-01-21",NA,"TEMP204"
4607,"bounds",10994,1294,"2025-01-26",NA,"TEMP205"
4607,"event",10524,1604,"2025-01-26",NA,"TEMP206"
4609,"bounds",24254,15204,"2025-01-21",NA,"TEMP207"
4609,"event",21204,18234,"2025-01-21",NA,"TEMP208"
4610,"bounds",3134,1134,"2025-01-21",NA,"TEMP209"
4610,"event",2474,1714,"2025-01-21",NA,"TEMP210"
4611,"bounds",984,484,"2025-01-21",NA,"TEMP211"
4611,"event",804,664,"2025-01-21",NA,"TEMP212"
4613,"bounds",13100,11500,"2025-01-21",NA,"TEMP213"
4613,"event",12700,12100,"2025-01-21",NA,"TEMP214"
