"site_name","site_identifier","siteid.x","sitename","lab_number","age","errorolder","erroryounger","measured_age","ma_sigma","normalized_age","na_sigma"
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2809",510,70,70,510,70,590,75
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2810",790,135,135,790,135,870,135
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2812",880,70,70,880,70,960,75
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2813",945,135,135,945,135,1025,135
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2765",2525,210,210,2525,210,2605,210
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2814",1155,75,75,1155,75,1235,80
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2815",1235,75,75,1235,75,1315,80
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2885",1535,75,75,1535,75,1615,80
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2816",1790,75,75,1790,75,1870,80
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2764",3025,250,250,3025,250,3105,250
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2766",3455,230,230,3455,230,3535,230
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3373",3470,80,80,3470,80,3570,80
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3372",3480,80,80,3480,80,3580,80
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3008",3660,75,75,3660,75,3740,80
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3374",3860,70,70,3860,70,3965,70
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3375",3880,70,70,3880,70,3980,70
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3009",4280,80,80,4280,80,4360,80
"Red Tail","FbNp-10",23637,"Red Tail [FbNp-10]","S-3007",5010,90,90,5010,90,5090,90
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2763",185,190,190,185,190,265,190
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2529",750,70,70,750,70,830,75
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2770",635,85,85,635,85,715,85
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2769",3055,70,70,3055,70,3135,75
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2767",3530,110,110,3530,110,3610,110
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2534",3895,195,195,3895,195,3975,195
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2536",4015,195,195,4015,195,4095,195
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2535",4120,190,190,4120,190,4200,190
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","Beta-97670",4490,60,60,4490,60,4580,60
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2768",5340,120,120,5340,120,5420,120
"Harder","FbNs-1",3649,"Harder [FbNs-1]","S-490",3360,120,120,3360,120,3440,120
"Harder","FbNs-1",3649,"Harder [FbNs-1]","S-490",3440,120,120,3360,120,3440,120
"Harder","FbNs-1",3649,"Harder [FbNs-1]","S-668",3425,105,105,3425,105,3505,105
"Lloyd","FhNa-35",23612,"Lloyd [FhNa-35]","S-2396",195,70,70,195,70,275,75
"Lloyd","FhNa-35",23612,"Lloyd [FhNa-35]","S-2274",385,155,155,385,155,465,155
"Lloyd","FhNa-35",23612,"Lloyd [FhNa-35]","S-2275",535,100,100,535,100,615,100
"Lloyd","FhNa-35",23612,"Lloyd [FhNa-35]","S-2276",610,100,100,610,100,690,100
"Eastcott Flat","FhNa-69",23528,"Eastcott Flat [FhNa-69]","S-2497",390,85,85,390,85,470,85
"Eastcott Flat","FhNa-69",23528,"Eastcott Flat [FhNa-69]","S-2496",1245,85,85,1245,85,1325,85
"Eastcott Flat","FhNa-69",23528,"Eastcott Flat [FhNa-69]","S-1330",2490,90,90,2490,90,2570,90
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2527",645,70,70,645,70,725,75
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2555",785,155,155,785,155,865,155
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2557",2010,100,100,2010,100,2090,100
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2291",3425,105,105,3425,105,3505,105
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2554",3600,80,80,3600,80,3680,80
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2556",3605,120,120,3605,120,3685,120
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2524",3610,105,105,3610,105,3690,105
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2369",3825,90,90,3825,90,3905,90
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2521",3825,75,75,3825,75,3905,80
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2526",3995,80,80,3995,80,4075,80
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2290",4180,115,115,4180,115,4260,115
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2525",4295,85,85,4295,85,4375,85
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2520",4330,115,115,4330,115,4410,115
"Stott","DlMa-1",16337,"Stott [DlMa-1]","GX-5139G",1080,135,135,1080,135,1200,135
