"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
15333,149291,"bounds",NA,764,284,"computed","TEMP1979"
15334,149292,"event",1834,2014,1664,"computed","TEMP1982"
15334,149292,"bounds",NA,2404,1274,"computed","TEMP1981"
15335,149293,"event",3504,3684,3334,"computed","TEMP1984"
15335,149293,"bounds",NA,4064,2954,"computed","TEMP1983"
15336,149294,"event",1154,1254,1044,"computed","TEMP1986"
15336,149294,"bounds",NA,1444,844,"computed","TEMP1985"
15337,149295,"event",1804,2044,1584,"computed","TEMP1988"
15337,149295,"bounds",NA,2524,1114,"computed","TEMP1987"
15338,149296,"event",1884,2014,1764,"computed","TEMP1990"
15338,149296,"bounds",NA,2294,1484,"computed","TEMP1989"
15339,149297,"event",2614,2754,2464,"computed","TEMP1992"
15339,149297,"bounds",NA,3034,2184,"computed","TEMP1991"
15342,149462,"event",394,514,254,"computed","TEMP1994"
15342,149462,"bounds",NA,804,-46,"computed","TEMP1993"
15343,149463,"event",9904,10314,9514,"computed","TEMP1996"
15343,149463,"bounds",NA,11224,8604,"computed","TEMP1995"
15344,149464,"event",10464,11524,9524,"computed","TEMP1998"
15344,149464,"bounds",NA,13624,7444,"computed","TEMP1997"
15346,149465,"event",8734,9104,8394,"computed","TEMP2000"
15346,149465,"bounds",NA,9844,7664,"computed","TEMP1999"
15347,149466,"event",10524,10924,10174,"computed","TEMP2002"
15347,149466,"bounds",NA,11734,9354,"computed","TEMP2001"
15348,149467,"event",194,334,74,"computed","TEMP2004"
15348,149467,"bounds",NA,564,-75,"computed","TEMP2003"
15354,149703,"event",15904,16864,14954,"computed","TEMP2006"
15354,149703,"bounds",NA,18774,13044,"computed","TEMP2005"
15356,149706,"event",1204,1344,1064,"computed","TEMP2008"
15356,149706,"bounds",NA,1654,754,"computed","TEMP2007"
15357,149707,"event",1594,1874,1354,"computed","TEMP2010"
15357,149707,"bounds",NA,2424,804,"computed","TEMP2009"
15358,149708,"event",10174,10834,9594,"computed","TEMP2012"
15358,149708,"bounds",NA,12124,8304,"computed","TEMP2011"
15359,149709,"event",29900,32100,28200,"computed","TEMP2014"
15359,149709,"bounds",NA,36400,23900,"computed","TEMP2013"
