"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
25771,27699,"GX-10863",2574,2844,2324,112,243061,"TEMP2527"
25771,27701,"GX-10864",2344,2664,2154,112,243061,"TEMP2527"
25771,53753,"S-2853",1114,1564,724,112,243061,"TEMP2527"
25771,27700,"GX-10865",1254,1744,854,112,243060,"TEMP2527"
25771,27705,"S-2854",1144,1534,774,112,243060,"TEMP2527"
25771,53755,"S-2851",594,684,534,112,243058,"TEMP2527"
25771,53757,"RIDDL-1273",594,674,554,112,243058,"TEMP2527"
25771,53752,"GX-10866",594,654,534,112,243058,"TEMP2527"
25771,53758,"RIDDL-1272a",594,654,534,112,243058,"TEMP2527"
25771,53761,"RIDDL-1330",594,644,524,112,243058,"TEMP2527"
25771,53759,"RIDDL-1272b",594,644,514,112,243058,"TEMP2527"
25771,53760,"RIDDL-1331",594,644,514,112,243058,"TEMP2527"
25771,27702,"S-2852",594,654,494,112,243058,"TEMP2527"
25771,53754,"S-2848",844,1324,584,112,243059,"TEMP2527"
25771,27704,"S-2849",624,714,534,112,243059,"TEMP2527"
25771,27703,"S-2850",594,884,194,112,243059,"TEMP2527"
25783,27708,"TO-4586",934,1054,794,112,243083,"TEMP2529"
25783,27707,"TO-4083",724,874,684,112,243083,"TEMP2529"
25796,27710,"I-8109",1124,1274,974,112,243106,"TEMP2531"
25796,27711,"WSU-1544",1704,1854,1564,112,243107,"TEMP2531"
25806,27718,"S-2281",984,1164,814,112,243122,"TEMP2533"
25806,27717,"S-2280",894,1054,744,112,243122,"TEMP2533"
25810,27719,"BGS-1556",724,884,664,112,243129,"TEMP2535"
25819,27720,"Beta-24931",17784,18114,17454,112,243145,"TEMP2537"
25819,53775,"USGS-2745",3084,3244,2934,112,243145,"TEMP2537"
25819,53771,"USGS-2741",2574,2714,2394,112,243145,"TEMP2537"
25819,53772,"USGS-2742",2124,2294,2014,112,243145,"TEMP2537"
25819,53774,"USGS-2744",1294,1354,1194,112,243145,"TEMP2537"
25819,53773,"USGS-2743",1134,1254,1014,112,243145,"TEMP2537"
25819,53777,"Beta-30556",1004,1184,814,112,243145,"TEMP2537"
25819,53776,"Beta-30557",394,494,174,112,243145,"TEMP2537"
25823,27721,"S-2966",1104,1264,964,112,243152,"TEMP2539"
25854,27724,"Beta-81281",214,444,14,112,243205,"TEMP2541"
25883,27728,"GSC-1313",614,844,414,112,243258,"TEMP2543"
25883,53778,"GSC-1292",514,654,314,112,243258,"TEMP2543"
25884,27729,"AECV-1653 C",444,534,324,112,243259,"TEMP2545"
25885,27730,"TO-16452",1464,1624,1344,112,243260,"TEMP2547"
26125,27755,"GaK-4857",3784,4064,3544,112,243714,"TEMP2549"
26125,27754,"GaK-4856",1714,2024,1434,112,243714,"TEMP2549"
26125,27756,"GaK-4858",3774,4244,3404,112,243715,"TEMP2549"
26125,27757,"S-142",9254,9634,8774,112,243716,"TEMP2549"
26127,27760,"Beta-1972",1414,1534,1324,112,243719,"TEMP2551"
26127,27759,"Beta-1791",1404,1524,1324,112,243719,"TEMP2551"
26127,27761,"Beta-58908",1314,1454,1154,112,243719,"TEMP2551"
26129,27763,"GSC-1814",10824,11104,10584,112,243721,"TEMP2553"
26336,27766,"GSC-162",5404,5694,5024,112,244126,"TEMP2555"
26345,27770,"Beta-68512",744,894,654,112,244141,"TEMP2557"
26370,27771,"Beta-11205",2554,2744,2354,112,244189,"TEMP2559"
26424,27778,"I-7790",2604,2774,2404,112,244287,"TEMP2561"
26427,27781,"SFU-344",6394,6604,6224,112,244290,"TEMP2563"
26427,27782,"SFU-342",5384,5694,4984,112,244291,"TEMP2563"
26427,27783,"SFU-343",5024,5404,4624,112,244292,"TEMP2563"
26427,27784,"SFU-341",2594,2934,2264,112,244293,"TEMP2563"
26427,27785,"WSU-1942",1314,1514,1094,112,244294,"TEMP2563"
26428,27786,"M-1535",2434,2694,2174,112,244295,"TEMP2565"
26428,27787,"GaK-1284",2424,2674,2194,112,244295,"TEMP2565"
26428,27788,"P-704",1844,1974,1734,112,244295,"TEMP2565"
26428,27789,"P-706",1754,1884,1624,112,244295,"TEMP2565"
26437,27796,"DIC-1252",614,684,544,112,244597,"TEMP2569"
26440,27798,"S-2528",1424,1534,1324,112,244600,"TEMP2571"
26440,27797,"S-2763",284,544,14,112,244600,"TEMP2571"
26440,27799,"S-2529",694,794,574,112,244601,"TEMP2571"
26440,27800,"S-2533",824,934,714,112,244602,"TEMP2571"
26440,27801,"S-2530",2224,2344,2074,112,244603,"TEMP2571"
26440,27802,"S-2764",3214,3764,2764,112,244604,"TEMP2571"
26440,27803,"S-2765",2594,3064,2164,112,244605,"TEMP2571"
26440,27804,"S-2532",4924,5234,4674,112,244606,"TEMP2571"
26440,27805,"S-2766",3754,4304,3284,112,244607,"TEMP2571"
26444,27806,"GaK-3211",624,724,554,112,244611,"TEMP2573"
26450,27812,"Beta-22793",654,734,564,112,244617,"TEMP2575"
26453,27816,"S-3648",4134,4364,3934,112,244621,"TEMP2577"
26453,27817,"S-3644",7814,7954,7684,112,244622,"TEMP2577"
26453,27818,"S-44",5974,6244,5704,112,244620,"TEMP2577"
26454,53787,"CAMS N80421",464,514,334,112,244623,"TEMP2579"
26456,27820,"Beta-62706",784,914,694,112,244625,"TEMP2581"
26457,27821,"S-2215",2484,2714,2204,112,244626,"TEMP2583"
26457,27822,"Beta-3968",1444,1524,1354,112,244627,"TEMP2583"
26457,27823,"I-12382",1804,1974,1634,112,244628,"TEMP2583"
26458,27824,"I-8295",1104,1404,794,112,244629,"TEMP2585"
26459,27827,"A-1324",554,634,524,112,244630,"TEMP2587"
26459,27826,"A-1293",524,624,444,112,244630,"TEMP2587"
26459,27829,"A-1294",1204,1354,1014,112,244631,"TEMP2587"
26459,27828,"A-1349",994,1244,734,112,244631,"TEMP2587"
26459,27831,"A-1424",1614,1944,1414,112,244632,"TEMP2587"
26459,27830,"A-1368",1484,1564,1394,112,244632,"TEMP2587"
26459,27832,"A-1369",3414,3534,3274,112,244633,"TEMP2587"
26469,27839,"OT-5006",13934,14074,13814,112,244643,"TEMP2589"
26470,27840,"S-193",3304,3434,3154,112,244645,"TEMP2591"
26470,27841,"GSC-127",3084,3364,2814,112,244646,"TEMP2591"
26471,27842,"RIDDL-200",484,694,134,112,244647,"TEMP2593"
26472,27843,"Beta-8199",1494,1674,1384,112,244648,"TEMP2595"
26474,27844,"TO-1926",1024,1164,934,112,244650,"TEMP2597"
26479,27846,"DRI-3082",8154,8314,8034,112,244656,"TEMP2599"
26479,27847,"DRI-3136",9294,9504,9034,112,244657,"TEMP2599"
26479,27848,"DRI-3081",10214,10364,9964,112,244658,"TEMP2599"
26479,27849,"DRI-3137",11594,11884,11324,112,244659,"TEMP2599"
26479,27850,"DRI-3138",17934,18254,17464,112,244660,"TEMP2599"
26479,27851,"DRI-3084",36294,37304,35494,112,244662,"TEMP2599"
26545,27853,"Beta-51804",2674,2774,2494,112,244790,"TEMP2601"
26569,27855,"Gak-1480",1904,2134,1714,112,244836,"TEMP2603"
26620,27858,"DIC-1334",25984,26624,25434,112,244934,"TEMP2605"
26620,27856,"DIC-1333",25514,25934,24824,112,244934,"TEMP2605"
26620,27861,"Beta-37057",42394,43354,41664,112,244932,"TEMP2605"
26620,27857,"Beta-37056",16074,16374,15774,112,244932,"TEMP2605"
26620,27860,"Beta-29165",26764,27154,26394,112,244933,"TEMP2605"
26620,27859,"Beta-29166",16644,16954,16344,112,244933,"TEMP2605"
26770,27863,"S-1660",5100,5300,4900,112,245232,"TEMP2607"
26770,27866,"CRNL-1230",4700,6800,2800,112,245232,"TEMP2607"
26770,27862,"S-1689",2100,2200,2000,112,245232,"TEMP2607"
26770,27865,"S-1662",4200,4400,4000,112,245233,"TEMP2607"
26770,27864,"S-1661",3700,3900,3600,112,245233,"TEMP2607"
26770,27867,"CRNL-1259",3100,3900,2300,112,245233,"TEMP2607"
26770,27868,"GSC-1931",4700,4900,4400,112,245234,"TEMP2607"
26773,27872,"I-4972",1054,1254,854,112,245237,"TEMP2609"
26775,27874,"missing",18124,18574,17624,112,245239,"TEMP2611"
26775,27873,"missing",17594,18104,17034,112,245239,"TEMP2611"
26796,27887,"I-13551",464,584,324,112,245555,"TEMP2613"
26803,27890,"I-11756",584,654,504,112,245585,"TEMP2615"
26805,27892,"I-9651",614,694,534,112,245587,"TEMP2617"
26810,27895,"TO-1638",3694,3824,3574,112,245592,"TEMP2619"
26810,27894,"GSC-2827",2814,2924,2754,112,245592,"TEMP2619"
26815,27899,"Beta-15391",4194,4404,3974,112,245598,"TEMP2621"
26816,53788,"GaK-2851",3294,3534,3024,112,245599,"TEMP2623"
26817,27900,"M-1538",574,674,404,112,245602,"TEMP2625"
26818,27901,"I-12774",694,844,574,112,245603,"TEMP2627"
26829,27908,"TO-4875",13344,13464,13194,112,245614,"TEMP2629"
26834,27911,"GSC-3561",604,664,554,112,245750,"TEMP2631"
26840,27922,"I-1941",3064,3314,2844,112,246185,"TEMP2633"
26840,27923,"I-1940",6454,6674,6284,112,246186,"TEMP2633"
26842,27926,"P-698",2734,2784,2524,112,246304,"TEMP2635"
26842,27925,"M-1528",2584,2744,2244,112,246304,"TEMP2635"
26842,27924,"GSC-820",2574,2734,2214,112,246304,"TEMP2635"
26843,27927,"W-975",10764,11754,10254,112,246305,"TEMP2637"
26843,27929,"UCLA-1858",10304,10484,10174,112,246305,"TEMP2637"
26843,27928,"UCLA-1859",14044,16044,12604,112,246306,"TEMP2637"
26848,27932,"S-2201",1084,1354,814,112,246311,"TEMP2639"
26848,27933,"S-2200",804,954,674,112,246311,"TEMP2639"
26853,27971,"missing",4144,4804,3554,112,246376,"TEMP2641"
26853,27972,"missing",1034,1174,944,112,246376,"TEMP2641"
26858,53794,"GaK-1265",1664,1944,1434,112,246384,"TEMP2643"
26858,27977,"RIDDL-140",1634,1824,1444,112,246384,"TEMP2643"
26858,27978,"S-511",714,894,574,112,246387,"TEMP2643"
26858,53793,"GaK-1264",814,1034,674,112,246388,"TEMP2643"
26858,27979,"S-513",784,994,584,112,246388,"TEMP2643"
26858,27980,"S-514",734,944,574,112,246389,"TEMP2643"
26858,53791,"GSC-747",644,844,514,112,246389,"TEMP2643"
26858,53795,"GaK-1252",884,1214,694,112,246390,"TEMP2643"
26858,27981,"S-515",814,984,664,112,246390,"TEMP2643"
26858,27982,"S-512",834,1104,634,112,246391,"TEMP2643"
26858,27983,"GSC-789",474,654,174,112,246386,"TEMP2643"
26858,53792,"GSC-779",564,724,334,112,246385,"TEMP2643"
26858,27984,"Gak-1263",304,524,24,112,246385,"TEMP2643"
26858,53789,"GSC-759",804,1024,644,112,513804,"TEMP2643"
26858,53790,"GaK-1249",844,1104,674,112,513803,"TEMP2643"
26864,27989,"P-598",2634,2754,2504,112,246397,"TEMP2645"
26865,27990,"I-1636",724,904,574,112,246398,"TEMP2647"
26865,27991,"I-1637",1364,1584,1134,112,246399,"TEMP2647"
26870,27992,"SFU-73",514,644,334,112,246768,"TEMP2649"
26871,27993,"Beta-5866",544,644,364,112,246769,"TEMP2651"
26873,27996,"Beta-52276",414,524,304,112,246771,"TEMP2653"
26873,27997,"Beta-52274",434,524,324,112,246772,"TEMP2653"
26873,27998,"Beta-63444",374,484,104,112,246773,"TEMP2653"
26873,27999,"Beta-71831",304,464,14,112,246774,"TEMP2653"
26874,28000,"S-1077",3784,4004,3584,112,246776,"TEMP2655"
26874,28002,"GaK-6065",614,714,534,112,246775,"TEMP2655"
26874,28001,"Gak-6064",604,694,524,112,246775,"TEMP2655"
26878,28007,"SFU-1001",994,1154,844,112,246780,"TEMP2657"
26878,28008,"SFU-1002",994,1154,844,112,246781,"TEMP2657"
26878,28009,"SFU-721",1444,1534,1344,112,246782,"TEMP2657"
26884,27686,"QC-673",23734,23804,23434,112,242967,"TEMP2659"
26918,28029,"Beta-4951",12994,13214,12804,112,246863,"TEMP2661"
26918,28028,"missing",12904,13084,12764,112,246863,"TEMP2661"
26918,28027,"missing",11784,12174,11424,112,246863,"TEMP2661"
26918,28026,"missing",11354,11744,10934,112,246863,"TEMP2661"
26918,28025,"Beta-7752",10484,10834,10264,112,246863,"TEMP2661"
26918,28024,"Beta-7751",9334,9494,9084,112,246863,"TEMP2661"
26918,28031,"missing",8834,9014,8634,112,246863,"TEMP2661"
26918,28030,"missing",8074,8294,7874,112,246863,"TEMP2661"
26999,28061,"Beta 14472",1804,1974,1634,112,246953,"TEMP2663"
26999,28062,"Beta 14139",1594,1764,1424,112,246953,"TEMP2663"
26999,28060,"Beta 14471",714,844,664,112,246953,"TEMP2663"
26999,28059,"Beta 14138",614,674,554,112,246953,"TEMP2663"
27098,53796,"CAMS-20589",15184,15344,15024,112,247062,"TEMP2665"
27102,52948,"UCIAMS-136743",48400,50600,46500,112,247181,"TEMP2667"
27102,52944,"ACRF815",48000,50500,45800,112,247181,"TEMP2667"
27102,28182,"CAMS-119954",48000,50500,45800,112,247181,"TEMP2667"
27102,28156,"UCIAMS-169859",48100,50500,45900,112,247181,"TEMP2667"
27102,52969,"TEMP215",47900,50400,45700,112,247181,"TEMP2667"
27102,28168,"UCIAMS-173031",47800,49600,46300,112,247181,"TEMP2667"
27102,52618,"UCIAMS-216769",45800,48300,44000,112,247181,"TEMP2667"
27102,52617,"UCIAMS-216768",44100,45900,43000,112,247181,"TEMP2667"
27102,52616,"UCIAMS-216770",40900,41700,40000,112,247181,"TEMP2667"
27102,52943,"684",20100,20200,20000,112,247181,"TEMP2667"
27102,28183,"CAMS",20100,20200,20000,112,247181,"TEMP2667"
27102,28170,"UCIAMS-173033",3100,3200,3100,112,247181,"TEMP2667"
27102,52966,"UCIAMS-HC 6912E",2900,3000,2800,112,247181,"TEMP2667"
27102,28136,"UCIAMS-167046",2900,3000,2800,112,247181,"TEMP2667"
27102,28163,"UCIAMS-172371",2800,2800,2700,112,247181,"TEMP2667"
27102,52951,"UCIAMS-137679",2600,2700,2400,112,247181,"TEMP2667"
27102,52952,"UCIAMS-137686",2500,2700,2400,112,247181,"TEMP2667"
27102,28179,"UCIAMS-173044",2400,2500,2400,112,247181,"TEMP2667"
27102,28164,"UCIAMS-172345",2400,2500,2400,112,247181,"TEMP2667"
27102,28162,"UCIAMS-172370",2400,2500,2300,112,247181,"TEMP2667"
27102,52949,"UCIAMS-136747",2400,2500,2300,112,247181,"TEMP2667"
27102,28165,"UCIAMS-172346",2400,2400,2300,112,247181,"TEMP2667"
27102,52946,"UCIAMS-136741",2400,2400,2300,112,247181,"TEMP2667"
27102,28180,"UCIAMS-173047",2400,2400,2200,112,247181,"TEMP2667"
27102,28178,"UCIAMS-173042",2300,2400,2200,112,247181,"TEMP2667"
27102,28172,"UCIAMS-173036",2300,2400,2200,112,247181,"TEMP2667"
27102,52950,"UCIAMS-136748",2200,2300,2100,112,247181,"TEMP2667"
27102,52947,"UCIAMS-136742",2200,2300,2100,112,247181,"TEMP2667"
27102,52958,"UCIAMS-HC 6457E",2200,2300,2100,112,247181,"TEMP2667"
27102,28128,"UCIAMS-167035",2200,2300,2100,112,247181,"TEMP2667"
27102,28175,"UCIAMS-173039",1600,1700,1500,112,247181,"TEMP2667"
27102,28160,"UCIAMS-169861",1200,1300,1100,112,247181,"TEMP2667"
27102,52945,"UCIAMS-1359933",1100,1200,1000,112,247181,"TEMP2667"
27102,28155,"UCIAMS-169855",1100,1100,1000,112,247181,"TEMP2667"
27102,28150,"UCIAMS-169870",800,800,700,112,247181,"TEMP2667"
27102,28161,"UCIAMS-172369",700,800,600,112,247181,"TEMP2667"
27102,52955,"UCIAMS-HC 6448E",700,800,600,112,247181,"TEMP2667"
27102,28138,"UCIAMS-169849",700,800,600,112,247181,"TEMP2667"
27102,28167,"UCIAMS-173030",700,800,600,112,247181,"TEMP2667"
27102,52964,"UCIAMS-HC 6463E",700,700,600,112,247181,"TEMP2667"
27102,28134,"UCIAMS-167041",700,700,600,112,247181,"TEMP2667"
27102,52960,"UCIAMS-HC 6459E",600,700,600,112,247181,"TEMP2667"
27102,28130,"UCIAMS-167037",600,700,600,112,247181,"TEMP2667"
27102,52965,"UCIAMS-HC 6464E",600,700,600,112,247181,"TEMP2667"
27102,28135,"UCIAMS-167042",600,700,600,112,247181,"TEMP2667"
27102,52967,"UCIAMS-HC 7121E",600,700,600,112,247181,"TEMP2667"
27102,28140,"UCIAMS-169852",600,700,600,112,247181,"TEMP2667"
27102,52968,"UCIAMS-HC 7122E",600,700,500,112,247181,"TEMP2667"
27102,28141,"UCIAMS-169853",600,700,500,112,247181,"TEMP2667"
27102,52954,"UCIAMS-HC 6447E",600,700,500,112,247181,"TEMP2667"
27102,28137,"UCIAMS-169848",600,700,500,112,247181,"TEMP2667"
27102,28166,"UCIAMS-172348",600,700,500,112,247181,"TEMP2667"
27102,28159,"UCIAMS-169869",600,700,500,112,247181,"TEMP2667"
27102,28171,"UCIAMS-173035",600,700,500,112,247181,"TEMP2667"
27102,28143,"UCIAMS-169851",600,700,500,112,247181,"TEMP2667"
27102,28151,"UCIAMS-169871",600,700,500,112,247181,"TEMP2667"
27102,28147,"UCIAMS-169863",600,600,500,112,247181,"TEMP2667"
27102,28177,"UCIAMS-173041",600,600,500,112,247181,"TEMP2667"
27102,28148,"UCIAMS-169864",600,600,500,112,247181,"TEMP2667"
27102,52953,"UCIAMS-HC 15111E",500,600,500,112,247181,"TEMP2667"
27102,28142,"UCIAMS-169874",500,600,500,112,247181,"TEMP2667"
27102,28176,"UCIAMS-173040",500,600,500,112,247181,"TEMP2667"
27102,28154,"UCIAMS-169854",500,600,400,112,247181,"TEMP2667"
27102,28144,"UCIAMS-169856",500,500,400,112,247181,"TEMP2667"
27102,52956,"UCIAMS-HC 6449E",400,500,400,112,247181,"TEMP2667"
27102,28139,"UCIAMS-169850",400,500,400,112,247181,"TEMP2667"
27102,52962,"UCIAMS-HC 6461E",400,500,400,112,247181,"TEMP2667"
27102,52959,"UCIAMS-HC 6458E",400,500,400,112,247181,"TEMP2667"
27102,28132,"UCIAMS-167039",400,500,400,112,247181,"TEMP2667"
27102,28129,"UCIAMS-167036",400,500,400,112,247181,"TEMP2667"
27102,52963,"UCIAMS-HC 6462E",400,500,400,112,247181,"TEMP2667"
27102,28133,"UCIAMS-167040",400,500,400,112,247181,"TEMP2667"
27102,28152,"UCIAMS-169872",400,500,300,112,247181,"TEMP2667"
27102,52961,"UCIAMS-HC 6460E",0,500,-200,112,247181,"TEMP2667"
27102,28157,"UCIAMS-169860",0,500,-200,112,247181,"TEMP2667"
27102,28131,"UCIAMS-167038",0,500,-200,112,247181,"TEMP2667"
27102,28174,"UCIAMS-173038",-100,500,-200,112,247181,"TEMP2667"
27102,28149,"UCIAMS-169865",-100,500,-200,112,247181,"TEMP2667"
27102,28145,"UCIAMS-169858",-100,400,-200,112,247181,"TEMP2667"
27102,28153,"UCIAMS-169873",-100,400,-200,112,247181,"TEMP2667"
27102,28173,"UCIAMS-173037",-100,400,-200,112,247181,"TEMP2667"
27102,28146,"UCIAMS-169862",-100,400,-200,112,247181,"TEMP2667"
27102,28181,"UCIAMS-173048",-100,400,-200,112,247181,"TEMP2667"
27102,28158,"UCIAMS-169866",0,400,-200,112,247181,"TEMP2667"
27102,28169,"UCIAMS-173032",200,400,0,112,247181,"TEMP2667"
27102,52957,"UCIAMS-HC 6456E",200,400,0,112,247181,"TEMP2667"
27102,28127,"UCIAMS-167034",200,400,0,112,247181,"TEMP2667"
27103,28184,"S-3382",1124,1264,984,112,247182,"TEMP2669"
27122,28210,"RL-1975",3894,4244,3584,112,247280,"TEMP2671"
27129,28213,"Beta-17909",704,784,614,112,247287,"TEMP2673"
27129,28214,"Beta-17910",604,654,524,112,247287,"TEMP2673"
27201,28258,"GX-",22974,24674,21474,112,247387,"TEMP2675"
27201,28259,"GX-",22474,24014,21034,112,247388,"TEMP2675"
27205,28260,"missing",1064,1334,774,112,247392,"TEMP2677"
27205,28262,"P-55",1054,1294,784,112,247392,"TEMP2677"
27205,28261,"missing",1044,1354,734,112,247392,"TEMP2677"
27212,28286,"GSC-406",3024,3334,2784,112,247401,"TEMP2679"
27212,28285,"GSC-436",694,904,554,112,247401,"TEMP2679"
27213,53800,"UGa-166",2084,2294,1884,112,247403,"TEMP2681"
27213,53801,"UGa-164",1784,1984,1584,112,247403,"TEMP2681"
27213,53799,"UGa-158",1594,1734,1424,112,247403,"TEMP2681"
27213,53798,"UGa-163",1394,1524,1314,112,247403,"TEMP2681"
27213,53797,"UGa-159",1334,1464,1214,112,247403,"TEMP2681"
27217,28288,"S-503",604,674,534,112,247429,"TEMP2683"
27217,28296,"S-1716",2804,2934,2714,112,247434,"TEMP2683"
27217,28300,"S-1715",1764,1874,1644,112,247434,"TEMP2683"
27217,28295,"S-1713",1354,1444,1304,112,247434,"TEMP2683"
27217,28293,"S-1711",834,934,724,112,247434,"TEMP2683"
27217,28289,"S-1714",814,904,734,112,247434,"TEMP2683"
27217,28291,"S-1712",714,774,684,112,247434,"TEMP2683"
27217,28292,"S-1710",664,714,574,112,247434,"TEMP2683"
27217,28297,"S-1718",804,974,684,112,247433,"TEMP2683"
27217,28290,"S-1717",724,904,574,112,247433,"TEMP2683"
27217,28298,"S-1719",144,274,24,112,247433,"TEMP2683"
27217,28299,"S-1720",714,854,664,112,247436,"TEMP2683"
27236,28315,"Beta-7075",2854,3144,2544,112,247527,"TEMP2685"
27236,28316,"Beta-4260",3024,3384,2664,112,247526,"TEMP2685"
27236,28317,"Beta-6829",3784,4124,3504,112,247528,"TEMP2685"
27272,28321,"missing",1104,1264,954,112,247569,"TEMP2687"
27274,53802,"GX-251",17914,19434,16574,112,247571,"TEMP2689"
27274,28322,"W-2703",17744,18604,16794,112,247571,"TEMP2689"
27274,28323,"GX-250",17984,19914,16204,112,247572,"TEMP2689"
27276,28325,"RL-267",574,674,404,112,247574,"TEMP2691"
27278,28326,"P-175",2244,2654,1974,112,247576,"TEMP2693"
27281,28329,"missing",17404,19144,15664,112,247580,"TEMP2695"
27284,28335,"SFU-203",1044,1424,744,112,247585,"TEMP2697"
27284,28334,"SFU-205",974,1244,744,112,247585,"TEMP2697"
27284,28333,"SFU-204",964,1404,454,112,247585,"TEMP2697"
27286,53807,"OxA-9767",52800,54800,50000,112,247593,"TEMP2699"
27286,53803,"OxA-9260",50000,54300,46100,112,247593,"TEMP2699"
27286,53815,"TEMP27",45300,46900,44400,112,247593,"TEMP2699"
27286,53808,"AA26796",46200,53600,41700,112,247593,"TEMP2699"
27286,28336,"AA-17509",41200,42100,40000,112,247593,"TEMP2699"
27286,53811,"AA26797",40900,46000,37500,112,247593,"TEMP2699"
27286,53810,"AA26793",39800,43600,36600,112,247593,"TEMP2699"
27286,53814,"AA26786",38600,41800,35900,112,247593,"TEMP2699"
27286,53806,"OxA-9799",14400,14900,14200,112,247593,"TEMP2699"
27286,28337,"SI-839",25500,28500,23200,112,247588,"TEMP2699"
27286,28338,"SI-842",34700,42000,30800,112,247592,"TEMP2699"
27286,28340,"QC-661",21800,23000,20700,112,247587,"TEMP2699"
27286,28341,"QC-660",25700,28300,23700,112,247589,"TEMP2699"
27286,53813,"AA26855",25400,25900,24600,112,247589,"TEMP2699"
27286,53809,"AA26850",25100,25800,24400,112,247589,"TEMP2699"
27286,53812,"AA26811",16000,16400,15700,112,247589,"TEMP2699"
27286,28342,"QC-667",28700,38200,24600,112,247590,"TEMP2699"
27286,28343,"QC-672",36400,52800,25700,112,247591,"TEMP2699"
27287,28344,"S-2556",3924,4224,3654,112,247596,"TEMP2701"
27287,28354,"S-2525",4854,5074,4604,112,247597,"TEMP2701"
27287,28345,"S-2290",4684,4934,4454,112,247597,"TEMP2701"
27287,28353,"S-2524",3984,4284,3724,112,247597,"TEMP2701"
27287,28348,"S-2554",3894,4084,3704,112,247598,"TEMP2701"
27287,28347,"S-2291",3684,3904,3484,112,247598,"TEMP2701"
27287,28346,"S-2292",3574,3824,3384,112,247598,"TEMP2701"
27287,28357,"S-2557",1994,2284,1774,112,247598,"TEMP2701"
27287,28350,"S-2520",4764,5154,4464,112,247600,"TEMP2701"
27287,28355,"S-2526",4474,4754,4264,112,247600,"TEMP2701"
27287,28356,"S-2369",4284,4464,4054,112,247600,"TEMP2701"
27287,28349,"S-2521",4274,4414,4084,112,247600,"TEMP2701"
27287,28352,"S-2555",674,904,554,112,247595,"TEMP2701"
27287,28351,"S-2527",624,684,554,112,247595,"TEMP2701"
27287,28358,"S-2519",4424,4754,4174,112,247599,"TEMP2701"
27287,28359,"S-2522",5504,5654,5334,112,247601,"TEMP2701"
27314,28362,"BGS-85",1184,1274,1074,112,247628,"TEMP2703"
27314,28361,"BGS-84",1184,1274,1074,112,247628,"TEMP2703"
27585,53834,"A-1157",14100,14800,13700,112,247976,"TEMP2705"
27585,53816,"SMU-128",13000,13100,12800,112,247976,"TEMP2705"
27585,53833,"A-1158",13000,13200,12800,112,247976,"TEMP2705"
27585,53830,"A-1152",12300,12700,12000,112,247976,"TEMP2705"
27585,53817,"SMU-129",11200,11400,10800,112,247976,"TEMP2705"
27585,53832,"A-1159",10700,11100,10400,112,247976,"TEMP2705"
27585,53820,"A-67 bis",10600,11100,10300,112,247976,"TEMP2705"
27585,53836,"A-2235",10300,11100,9700,112,247976,"TEMP2705"
27585,53831,"A-1160",10300,10600,10000,112,247976,"TEMP2705"
27585,53828,"A-189",10100,10300,9800,112,247976,"TEMP2705"
27585,53835,"Tx-1199",10400,13100,8300,112,247976,"TEMP2705"
27585,53821,"A-188C",9300,9800,8700,112,247976,"TEMP2705"
27585,53819,"A-188E",9300,9500,8900,112,247976,"TEMP2705"
27585,53826,"A-184C",9500,12100,7800,112,247976,"TEMP2705"
27585,53818,"A-67",9200,9700,8600,112,247976,"TEMP2705"
27585,53827,"A-191",8900,9100,8700,112,247976,"TEMP2705"
27585,53829,"A-190",8800,9300,8500,112,247976,"TEMP2705"
27585,53825,"C-216",8700,9500,8100,112,247976,"TEMP2705"
27585,53823,"A-192A",8400,9000,8000,112,247976,"TEMP2705"
27585,53824,"A-192B",6100,6700,5500,112,247976,"TEMP2705"
27693,28369,"I-13097",704,874,574,112,248084,"TEMP2707"
27693,28370,"I-13095",784,914,694,112,248085,"TEMP2707"
27693,28371,"I-13096",764,904,674,112,248085,"TEMP2707"
27865,28428,"WIS-2194",384,444,314,112,248328,"TEMP2709"
27865,28433,"WIS-2201",384,434,314,112,248328,"TEMP2709"
27865,28429,"TX-7098",384,434,304,112,248328,"TEMP2709"
27865,28426,"TX-7095",384,434,304,112,248328,"TEMP2709"
27865,28435,"WIS-2203",384,434,304,112,248328,"TEMP2709"
27865,28427,"TX-7094",384,434,304,112,248328,"TEMP2709"
27865,28425,"TX-7093",384,434,304,112,248328,"TEMP2709"
27865,28430,"WIS-2120",384,434,304,112,248328,"TEMP2709"
27865,28436,"WIS-2204",384,434,294,112,248328,"TEMP2709"
27865,28434,"WIS-2202",384,434,294,112,248328,"TEMP2709"
27865,28432,"WIS-2122",384,434,294,112,248328,"TEMP2709"
27865,28431,"WIS-2121",384,424,294,112,248328,"TEMP2709"
27946,28454,"Beta-147188",1004,1184,814,112,248669,"TEMP2711"
27946,28455,"Beta-147184",1894,1994,1764,112,248668,"TEMP2711"
27950,28467,"Beta-125352",17954,18504,17444,112,248929,"TEMP2713"
27950,28468,"Beta-125350",13914,14034,13814,112,248929,"TEMP2713"
27950,28466,"Beta-125351",12004,12614,11344,112,248929,"TEMP2713"
27950,28465,"Beta-75403",7444,7554,7324,112,248929,"TEMP2713"
27950,28469,"Beta-80169",31014,31184,30574,112,248930,"TEMP2713"
