"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
5920,52893,"UCIAMS-170100",200,300,100,112,82633,"TEMP1118"
5920,52894,"UCIAMS-167057",200,300,100,112,82633,"TEMP1118"
5921,9610,"UCLA-1738D",38300,47600,33800,112,82634,"TEMP1120"
5922,9613,"W-495",14954,15954,14134,112,82635,"TEMP1122"
5922,9612,"W-499",14514,15454,13664,112,82635,"TEMP1122"
5922,9611,"W-498",14164,15064,13394,112,82635,"TEMP1122"
5924,9617,"TX-5834",24264,25174,23394,112,82637,"TEMP1124"
5929,9620,"TX-1556B",9104,9514,8624,112,82643,"TEMP1126"
5929,9619,"TX-1557",1594,1704,1444,112,82643,"TEMP1126"
5929,9618,"TX-1556A",1444,1534,1344,112,82643,"TEMP1126"
5934,52971,"UCLA-1641",504,554,344,112,82648,"TEMP1128"
5934,52970,"UCLA-1411",434,504,324,112,82648,"TEMP1128"
5935,52972,"UCLA-926",1414,1534,1314,112,82649,"TEMP1130"
5937,9622,"TEMP227",454,624,314,112,82651,"TEMP1132"
5937,9623,"TEMP228",414,564,264,112,82651,"TEMP1132"
5937,9621,"TEMP226",394,484,284,112,82651,"TEMP1132"
5939,9627,"WSU-511",6284,7104,5574,112,82655,"TEMP1134"
5939,9628,"WSU-538",2034,2704,1454,112,82656,"TEMP1134"
5939,9629,"WSU-463",824,1364,304,112,82658,"TEMP1134"
5941,9630,"UCR-1143",13634,14994,12814,112,82663,"TEMP1136"
5942,9631,"TEMP229",12994,13244,12784,112,82664,"TEMP1138"
5943,9632,"Beta-2155",11284,11744,10824,112,82667,"TEMP1140"
5948,9636,"QC-937",8164,8354,7994,112,91860,"TEMP1142"
5949,9637,"GK-10421",12804,13564,11774,112,82683,"TEMP1144"
5950,9638,"GK-10417",14994,17354,13314,112,82684,"TEMP1146"
5950,9639,"GK-10418",10274,11154,9574,112,82684,"TEMP1146"
5951,9640,"GK-10420",14404,15544,13504,112,82686,"TEMP1148"
5953,52973,"Beta-314206",22354,22454,22234,112,82689,"TEMP1150"
5957,52974,"UCLA-1800",22554,23544,21594,112,82693,"TEMP1152"
5960,52975,"TEMP232",41000,51600,35800,112,82697,"TEMP1154"
5960,9642,"TEMP231",16900,17900,15900,112,82697,"TEMP1154"
5964,9658,"Beta-13823",754,904,674,112,91863,"TEMP1156"
5964,9659,"Beta-13822",684,734,584,112,91863,"TEMP1156"
5964,9655,"Beta-19548",544,644,364,112,91863,"TEMP1156"
5964,9654,"Beta-20684",534,644,344,112,91863,"TEMP1156"
5964,9653,"Beta-20685",464,534,334,112,91863,"TEMP1156"
5964,9657,"Beta-20682",394,504,184,112,91863,"TEMP1156"
5964,9656,"Beta-20683",214,324,34,112,91863,"TEMP1156"
5964,9652,"Beta-19452",184,264,-16,112,91863,"TEMP1156"
5964,9660,"Beta-20071",2244,2694,1834,112,91864,"TEMP1156"
5965,9662,"Beta-19763",604,714,524,112,91865,"TEMP1158"
5965,9661,"Beta-19762",474,604,334,112,91865,"TEMP1158"
5965,9666,"DIC-2691",1024,1224,854,112,91866,"TEMP1158"
5965,9665,"Beta-20688",734,894,664,112,91866,"TEMP1158"
5965,9663,"Beta-20691",694,844,574,112,91866,"TEMP1158"
5965,9664,"Beta-20687",314,484,44,112,91866,"TEMP1158"
5965,9672,"Beta-20689",674,744,574,112,91867,"TEMP1158"
5965,9671,"Beta-19432",514,644,324,112,91867,"TEMP1158"
5965,9670,"Beta-19433",434,524,324,112,91867,"TEMP1158"
5965,9669,"Beta-19437",204,414,24,112,91867,"TEMP1158"
5965,9668,"Beta-19434",184,294,24,112,91867,"TEMP1158"
5965,9667,"Beta-19435",144,264,-6,112,91867,"TEMP1158"
5965,9673,"Beta-20762",634,784,554,112,91868,"TEMP1158"
5965,9676,"Beta-20686",614,714,554,112,91868,"TEMP1158"
5965,9675,"Beta-19445",604,654,534,112,91868,"TEMP1158"
5965,9674,"Beta-19431",544,644,434,112,91868,"TEMP1158"
5970,9677,"Beta-22877",554,644,504,112,82707,"TEMP1160"
5971,9678,"Beta-27210",4144,4364,3984,112,82708,"TEMP1162"
5983,9679,"M-119",554,734,324,112,82720,"TEMP1164"
5983,9684,"GAK-1665",2464,2714,2194,112,82721,"TEMP1164"
5983,9683,"M-1120",1984,2304,1674,112,82721,"TEMP1164"
5983,9682,"GAK-1664",1814,2324,1384,112,82721,"TEMP1164"
5983,9681,"GAK-1667",1364,1624,1124,112,82721,"TEMP1164"
5983,9680,"GAK-1668",1324,1494,1184,112,82721,"TEMP1164"
5984,9688,"GAK-910",1494,1694,1354,112,82724,"TEMP1166"
5984,9692,"I-809",1404,1934,1054,112,82725,"TEMP1166"
5984,9691,"I-504",1264,1514,1024,112,82725,"TEMP1166"
5984,9690,"I-808",1064,1294,754,112,82725,"TEMP1166"
5984,9689,"I-1327",1034,1264,764,112,82725,"TEMP1166"
5988,9695,"L-290R",35700,47500,30800,112,82732,"TEMP1168"
5988,9696,"L-244",19200,19800,18800,112,82733,"TEMP1168"
5988,9697,"UCLA-106",14100,16300,12500,112,82734,"TEMP1168"
5988,52981,"UCLA-1898",32900,37500,30300,112,82730,"TEMP1168"
5988,52986,"Beta-85274",22900,23000,22600,112,82730,"TEMP1168"
5988,52985,"Beta-85077",22100,22300,22000,112,82730,"TEMP1168"
5988,52978,"M-599",20600,24400,17900,112,82730,"TEMP1168"
5988,52984,"Beta-96610",16700,17000,16500,112,82730,"TEMP1168"
5988,52982,"CAMS-24429",15300,16400,14200,112,82730,"TEMP1168"
5988,52979,"UCLA-141",15000,15600,14300,112,82730,"TEMP1168"
5988,52980,"UCLA-290T",14800,15500,14100,112,82730,"TEMP1168"
5988,52983,"CAMS-71697",13000,13100,12900,112,82730,"TEMP1168"
5990,9698,"AA-1320",13754,14004,13564,112,82736,"TEMP1170"
5991,9699,"AA-1818",29474,30054,28824,112,82737,"TEMP1172"
5993,9702,"Beta-14659",14004,14894,13504,112,82739,"TEMP1174"
5995,52994,"CAMS-8864",3384,3504,3254,112,82741,"TEMP1176"
5995,52991,"CAMS-9095",3324,3424,3224,112,82741,"TEMP1176"
5995,52995,"Beta-49997",3304,3414,3164,112,82741,"TEMP1176"
5995,9703,"Beta-15619",3294,3384,3094,112,82741,"TEMP1176"
5995,52996,"Beta-52359",6904,7104,6774,112,82743,"TEMP1176"
5995,52993,"CAMS-8862",6854,6984,6734,112,82743,"TEMP1176"
5995,9704,"Beta-15620",6844,6994,6664,112,82743,"TEMP1176"
5995,9706,"Beta-15622",9114,9404,8794,112,82745,"TEMP1176"
5995,52988,"CAMS-8865",8894,9074,8714,112,82745,"TEMP1176"
5995,9705,"Beta-15621",8884,9134,8664,112,82745,"TEMP1176"
5995,52989,"CAMS-8866",8644,8964,8494,112,82745,"TEMP1176"
5995,52998,"Beta-49948",9924,10184,9634,112,82746,"TEMP1176"
5995,52997,"CAMS-8863",9794,10104,9594,112,82746,"TEMP1176"
5995,52990,"CAMS-8867",9594,9714,9504,112,82746,"TEMP1176"
5995,9707,"Beta-15623",9524,9764,9314,112,82746,"TEMP1176"
5995,9708,"Beta-14660",12684,12764,12504,112,82747,"TEMP1176"
5995,52999,"CAMS-9094",12274,12614,11874,112,82747,"TEMP1176"
5995,52992,"Beta-52360",11874,12404,11614,112,82747,"TEMP1176"
5996,9709,"Beta-24791",774,904,694,112,82749,"TEMP1178"
5996,53000,"Beta-24792",744,894,654,112,82749,"TEMP1178"
5997,9710,"Beta-24793",3504,3684,3364,112,82750,"TEMP1180"
5997,53002,"Beta-25140",3414,3544,3264,112,82750,"TEMP1180"
5997,53003,"Beta-25142",2814,2944,2734,112,82750,"TEMP1180"
5997,53005,"Beta-25141",2804,3154,2424,112,82750,"TEMP1180"
5997,53004,"Beta-33255",2144,2324,1944,112,82750,"TEMP1180"
5997,53001,"Beta-24794",964,1074,824,112,82750,"TEMP1180"
5998,53006,"Beta-24795",1774,1924,1624,112,82751,"TEMP1182"
5999,53007,"Beta-24884",3074,3264,2904,112,82752,"TEMP1184"
5999,53009,"Beta-33003",1304,1414,1154,112,82752,"TEMP1184"
5999,53010,"Beta-23853",1024,1244,804,112,82752,"TEMP1184"
5999,53008,"Beta-25041",774,914,674,112,82752,"TEMP1184"
6000,9711,"Beta-24796",1224,1374,1034,112,82753,"TEMP1186"
6001,9712,"Beta-24797",1264,1354,1124,112,82754,"TEMP1188"
6002,9715,"USGS",27004,27834,26124,112,82755,"TEMP1190"
6002,9714,"USGS",26264,27124,25444,112,82755,"TEMP1190"
6002,9713,"USGS",25264,25814,24504,112,82755,"TEMP1190"
6005,9716,"Beta-4750",614,674,554,112,82758,"TEMP1192"
6005,9719,"Beta-4755",3034,3234,2874,112,82759,"TEMP1192"
6005,9720,"Beta-4756",2974,3194,2794,112,82759,"TEMP1192"
6005,9724,"Beta-4752",2844,2994,2754,112,82759,"TEMP1192"
6005,9718,"Beta-4754",2804,3014,2514,112,82759,"TEMP1192"
6005,9717,"Beta-4753",2794,2924,2634,112,82759,"TEMP1192"
6005,9723,"Beta-4751",2434,2694,2184,112,82759,"TEMP1192"
6005,9721,"Beta-4748",2314,2644,2144,112,82759,"TEMP1192"
6005,9722,"Beta-4749",2154,2314,1934,112,82759,"TEMP1192"
6005,9725,"Beta-4823",3534,3784,3344,112,82760,"TEMP1192"
6006,9728,"Beta-4337",3424,3564,3264,112,82762,"TEMP1194"
