"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","chronology.agemodel","chroncontrols.notes"
4491,NA,NA,NA,41347,26197,80,80290,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80290,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80291,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80291,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80292,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80292,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80293,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80293,"bounds","inferred: full range of dated units in collection"
4493,NA,NA,NA,16702,3672,23,80296,"event","inferred: between Stratum 7 and Zone D"
4493,NA,NA,NA,16007,4477,23,80296,"bounds","inferred: between Stratum 7 and Zone D"
4493,NA,NA,NA,16702,3672,23,80297,"event","inferred: between Stratum 7 and Zone D"
4493,NA,NA,NA,16007,4477,23,80297,"bounds","inferred: between Stratum 7 and Zone D"
4504,NA,NA,NA,482,0,23,80309,"event","inferred: above Level 2"
4504,NA,NA,NA,-8,-75,23,80309,"bounds","inferred: above Level 2"
4504,NA,NA,NA,10482,3017,23,80310,"event","inferred: between levels 8 and 15"
4504,NA,NA,NA,9147,3597,23,80310,"bounds","inferred: between levels 8 and 15"
4504,NA,NA,NA,10482,3017,23,80311,"event","inferred: between levels 8 and 15"
4504,NA,NA,NA,9147,3597,23,80311,"bounds","inferred: between levels 8 and 15"
4504,NA,NA,NA,10482,3017,23,80312,"event","inferred: between levels 8 and 15"
4504,NA,NA,NA,9147,3597,23,80312,"bounds","inferred: between levels 8 and 15"
4504,NA,NA,NA,10482,3017,23,80313,"event","inferred: between levels 8 and 15"
4504,NA,NA,NA,9147,3597,23,80313,"bounds","inferred: between levels 8 and 15"
4504,NA,NA,NA,10482,3017,23,80314,"event","inferred: between levels 8 and 15"
4504,NA,NA,NA,9147,3597,23,80314,"bounds","inferred: between levels 8 and 15"
4504,NA,NA,NA,12632,10482,80,80316,"event","inferred: range of 15 and 17"
4504,NA,NA,NA,14327,9147,80,80316,"bounds","inferred: range of 15 and 17"
4504,NA,NA,NA,14800,12632,37,80318,"event","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,14327,37,80318,"bounds","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,12622,37,80319,"event","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,14287,37,80319,"bounds","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,12622,37,80321,"event","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,14287,37,80321,"bounds","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,12622,37,80322,"event","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,14287,37,80322,"bounds","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,12622,37,80323,"event","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,14800,14287,37,80323,"bounds","inferred: below 17, Bolling-Allerod interstadial"
4504,NA,NA,NA,2382,1607,23,80325,"event","inferred: between Levels 3 and 6"
4504,NA,NA,NA,3574,864,23,80325,"bounds","inferred: range of Levels 3 and 6"
4504,NA,NA,NA,2382,1607,23,80326,"event","inferred: between Levels 3 and 6"
4504,NA,NA,NA,3574,864,23,80326,"bounds","inferred: range of Levels 3 and 6"
4504,NA,NA,NA,3017,2382,80,80328,"event","inferred: range of levels 6 and 8"
4504,NA,NA,NA,3597,1792,80,80328,"bounds","inferred: range of levels 6 and 8"
4504,NA,NA,NA,10482,3017,23,80330,"event","inferred: between levels 8 and 15"
4504,NA,NA,NA,9147,3597,23,80330,"bounds","inferred: between levels 8 and 15"
4505,NA,NA,NA,24822,23467,23,80332,"event","inferred: between IIA 110-120 and IA"
4505,NA,NA,NA,24767,23662,23,80332,"bounds","inferred: between IIA 110-120 and IA"
4505,NA,NA,NA,24822,23467,23,80333,"event","inferred: between IIA 110-120 and IA"
4505,NA,NA,NA,24767,23662,23,80333,"bounds","inferred: between IIA 110-120 and IA"
4505,NA,NA,9747,10212,9297,112,80335,"event","inferred: same as 80334"
4505,NA,NA,NA,11007,8492,112,80335,"bounds","inferred: same as 80334"
4505,NA,NA,NA,1727,1132,23,80345,"event","inferred: between Strata V and VII"
4505,NA,NA,NA,1522,1292,23,80345,"bounds","inferred: between Strata V and VII"
4505,NA,NA,NA,542,202,23,80348,"event","inferred: between Strata IX and XI"
4505,NA,NA,NA,527,282,23,80348,"bounds","inferred: between Strata IX and XI"
4536,NA,NA,NA,1117,350,80,80380,"event","inferred: full range of dated units in collection"
4536,NA,NA,NA,1082,350,80,80380,"bounds","inferred: full range of dated units in collection"
4536,NA,NA,NA,987,350,37,80381,"event","inferred: above Level B, below Late Woodland"
4536,NA,NA,NA,1012,350,37,80381,"bounds","inferred: above Level B, below Late Woodland"
4536,NA,NA,NA,747,697,23,80385,"event","inferred: between Levels D and F"
4536,NA,NA,NA,752,682,23,80385,"bounds","inferred: between Levels D and F"
4539,NA,NA,NA,12402,1,23,80389,"event","inferred: above rest of collection"
4539,NA,NA,NA,11562,1,23,80389,"bounds","inferred: above rest of collection"
4541,NA,NA,NA,17507,12472,80,80393,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80393,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80394,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80394,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80395,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80395,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80397,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80397,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80398,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80398,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80399,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80399,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80400,"event","inferred: full range of dated units in collection"
4541,NA,NA,NA,18777,11442,80,80400,"bounds","inferred: full range of dated units in collection"
4541,NA,NA,NA,17507,12472,80,80401,"event","inferred: full range of dated units in collection"
