"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","TEMP_chronid"
"4491",80280,"bounds",NA,48497,22772,"TEMP101"
"4491",80281,"event",NA,41347,26197,"TEMP102"
"4491",80281,"bounds",NA,48497,22772,"TEMP101"
"4491",80282,"event",NA,41347,26197,"TEMP102"
"4491",80282,"bounds",NA,48497,22772,"TEMP101"
"4491",80283,"event",NA,41347,26197,"TEMP102"
"4491",80283,"bounds",NA,48497,22772,"TEMP101"
"4491",80284,"event",NA,41347,26197,"TEMP102"
"4491",80284,"bounds",NA,48497,22772,"TEMP101"
"4491",80285,"event",NA,41347,26197,"TEMP102"
"4491",80285,"bounds",NA,48497,22772,"TEMP101"
"4491",80286,"event",NA,41347,26197,"TEMP102"
"4491",80286,"bounds",NA,48497,22772,"TEMP101"
"4491",80287,"event",NA,41347,26197,"TEMP102"
"4491",80287,"bounds",NA,48497,22772,"TEMP101"
"4491",80288,"event",NA,41347,26197,"TEMP102"
"4491",80288,"bounds",NA,48497,22772,"TEMP101"
"4491",80289,"event",NA,41347,26197,"TEMP102"
"4491",80289,"bounds",NA,48497,22772,"TEMP101"
"4491",80290,"event",NA,41347,26197,"TEMP102"
"4491",80290,"bounds",NA,48497,22772,"TEMP101"
"4491",80291,"event",NA,41347,26197,"TEMP102"
"4491",80291,"bounds",NA,48497,22772,"TEMP101"
"4491",80292,"event",NA,41347,26197,"TEMP102"
"4491",80292,"bounds",NA,48497,22772,"TEMP101"
"4491",80293,"event",NA,41347,26197,"TEMP102"
"4491",80293,"bounds",NA,48497,22772,"TEMP101"
"4493",80296,"event",NA,16702,3672,"TEMP106"
"4493",80296,"bounds",NA,16007,4477,"TEMP105"
"4493",80297,"event",NA,16702,3672,"TEMP106"
"4493",80297,"bounds",NA,16007,4477,"TEMP105"
"4504",80309,"event",NA,482,0,"TEMP122"
"4504",80309,"bounds",NA,-8,-75,"TEMP121"
"4504",80310,"event",NA,10482,3017,"TEMP122"
"4504",80310,"bounds",NA,9147,3597,"TEMP121"
"4504",80311,"event",NA,10482,3017,"TEMP122"
"4504",80311,"bounds",NA,9147,3597,"TEMP121"
"4504",80312,"event",NA,10482,3017,"TEMP122"
"4504",80312,"bounds",NA,9147,3597,"TEMP121"
"4504",80313,"event",NA,10482,3017,"TEMP122"
"4504",80313,"bounds",NA,9147,3597,"TEMP121"
"4504",80314,"event",NA,10482,3017,"TEMP122"
"4504",80314,"bounds",NA,9147,3597,"TEMP121"
"4504",80316,"event",NA,12632,10482,"TEMP122"
"4504",80316,"bounds",NA,14327,9147,"TEMP121"
"4504",80318,"event",NA,14800,12632,"TEMP122"
"4504",80318,"bounds",NA,14800,14327,"TEMP121"
"4504",80319,"event",NA,14800,12622,"TEMP122"
"4504",80319,"bounds",NA,14800,14287,"TEMP121"
"4504",80321,"event",NA,14800,12622,"TEMP122"
"4504",80321,"bounds",NA,14800,14287,"TEMP121"
"4504",80322,"event",NA,14800,12622,"TEMP122"
"4504",80322,"bounds",NA,14800,14287,"TEMP121"
"4504",80323,"event",NA,14800,12622,"TEMP122"
"4504",80323,"bounds",NA,14800,14287,"TEMP121"
"4504",80325,"event",NA,2382,1607,"TEMP122"
"4504",80325,"bounds",NA,3574,864,"TEMP121"
"4504",80326,"event",NA,2382,1607,"TEMP122"
"4504",80326,"bounds",NA,3574,864,"TEMP121"
"4504",80328,"event",NA,3017,2382,"TEMP122"
"4504",80328,"bounds",NA,3597,1792,"TEMP121"
"4504",80330,"event",NA,10482,3017,"TEMP122"
"4504",80330,"bounds",NA,9147,3597,"TEMP121"
"4505",80332,"event",NA,24822,23467,"TEMP124"
"4505",80332,"bounds",NA,24767,23662,"TEMP123"
"4505",80333,"event",NA,24822,23467,"TEMP124"
"4505",80333,"bounds",NA,24767,23662,"TEMP123"
"4505",80335,"event",9747,10212,9297,"TEMP124"
"4505",80335,"bounds",NA,11007,8492,"TEMP123"
"4505",80345,"event",NA,1727,1132,"TEMP124"
"4505",80345,"bounds",NA,1522,1292,"TEMP123"
"4505",80348,"event",NA,542,202,"TEMP124"
"4505",80348,"bounds",NA,527,282,"TEMP123"
"4536",80380,"event",NA,1117,350,"TEMP142"
"4536",80380,"bounds",NA,1082,350,"TEMP141"
"4536",80381,"event",NA,987,350,"TEMP142"
"4536",80381,"bounds",NA,1012,350,"TEMP141"
"4536",80385,"event",NA,747,697,"TEMP142"
"4536",80385,"bounds",NA,752,682,"TEMP141"
"4539",80389,"event",NA,12402,1,"TEMP148"
"4539",80389,"bounds",NA,11562,1,"TEMP147"
"4541",80393,"event",NA,17507,12472,"TEMP152"
"4541",80393,"bounds",NA,18777,11442,"TEMP151"
"4541",80394,"event",NA,17507,12472,"TEMP152"
"4541",80394,"bounds",NA,18777,11442,"TEMP151"
"4541",80395,"event",NA,17507,12472,"TEMP152"
"4541",80395,"bounds",NA,18777,11442,"TEMP151"
"4541",80397,"event",NA,17507,12472,"TEMP152"
"4541",80397,"bounds",NA,18777,11442,"TEMP151"
"4541",80398,"event",NA,17507,12472,"TEMP152"
"4541",80398,"bounds",NA,18777,11442,"TEMP151"
"4541",80399,"event",NA,17507,12472,"TEMP152"
"4541",80399,"bounds",NA,18777,11442,"TEMP151"
"4541",80400,"event",NA,17507,12472,"TEMP152"
"4541",80400,"bounds",NA,18777,11442,"TEMP151"
"4541",80401,"event",NA,17507,12472,"TEMP152"
"4541",80401,"bounds",NA,18777,11442,"TEMP151"
"4541",80403,"event",NA,17507,12472,"TEMP152"
"4541",80403,"bounds",NA,18777,11442,"TEMP151"
"4541",80404,"event",NA,17507,12472,"TEMP152"
"4541",80404,"bounds",NA,18777,11442,"TEMP151"
"4541",80405,"event",NA,17507,12472,"TEMP152"
"4541",80405,"bounds",NA,18777,11442,"TEMP151"
"4541",80407,"event",NA,17507,12472,"TEMP152"
"4541",80407,"bounds",NA,18777,11442,"TEMP151"
"4542",80408,"event",NA,3402,1962,"TEMP154"
"4542",80408,"bounds",NA,4622,732,"TEMP153"
"4542",80409,"event",NA,26000,21042,"TEMP154"
"4542",80409,"bounds",NA,26000,22672,"TEMP153"
"4542",80410,"event",NA,26000,21042,"TEMP154"
"4542",80410,"bounds",NA,26000,22672,"TEMP153"
"4542",80411,"event",NA,26000,21042,"TEMP154"
"4542",80411,"bounds",NA,26000,22672,"TEMP153"
"4542",80416,"event",NA,19072,3997,"TEMP154"
"4542",80416,"bounds",NA,17412,4217,"TEMP153"
"4542",80417,"event",NA,19072,3997,"TEMP154"
"4542",80417,"bounds",NA,17412,4217,"TEMP153"
"4542",96109,"event",NA,26000,21042,"TEMP154"
"4542",96109,"bounds",NA,26000,22672,"TEMP153"
"4542",96110,"event",NA,19072,3997,"TEMP154"
"4542",96110,"bounds",NA,17412,4217,"TEMP153"
"4542",96111,"event",NA,26000,21042,"TEMP154"
"4542",96111,"bounds",NA,26000,22672,"TEMP153"
"4553",80437,"event",14052,14327,13867,"TEMP158"
"4553",80437,"bounds",NA,14812,13492,"TEMP157"
"4553",80439,"event",2752,2837,2672,"TEMP158"
"4553",80439,"bounds",NA,3012,2497,"TEMP157"
"4553",80440,"event",NA,6992,1352,"TEMP158"
"4553",80440,"bounds",NA,6447,1127,"TEMP157"
"4570",80458,"event",NA,4562,57,"TEMP170"
"4570",80458,"bounds",NA,4517,0,"TEMP169"
"4570",80460,"event",NA,3837,322,"TEMP170"
"4570",80460,"bounds",NA,3797,522,"TEMP169"
"4570",80463,"event",NA,3837,57,"TEMP170"
"4570",80463,"bounds",NA,3797,0,"TEMP169"
"4592",80487,"event",NA,12297,10292,"TEMP180"
"4592",80487,"bounds",NA,19434,6864,"TEMP179"
"4592",80489,"event",NA,8487,0,"TEMP180"
"4592",80489,"bounds",NA,6877,0,"TEMP179"
"4593",80491,"event",NA,10767,442,"TEMP182"
"4593",80491,"bounds",NA,15842,-63,"TEMP181"
"4593",80492,"event",NA,10767,442,"TEMP182"
"4593",80492,"bounds",NA,15842,-63,"TEMP181"
"4600",80505,"event",NA,12017,0,"TEMP194"
"4600",80505,"event",NA,11522,0,"TEMP194"
"4600",80506,"event",NA,12017,0,"TEMP194"
"4600",80506,"event",NA,11522,0,"TEMP194"
"4600",80507,"event",NA,12017,500,"TEMP194"
"4600",80507,"event",NA,11522,500,"TEMP194"
"4605",80517,"event",NA,5902,0,"TEMP202"
"4605",80517,"bounds",NA,3752,0,"TEMP201"
"4605",80519,"event",NA,9852,8387,"TEMP202"
"4605",80519,"bounds",NA,9612,3752,"TEMP201"
"4605",80520,"event",NA,9852,8387,"TEMP202"
"4605",80520,"bounds",NA,9612,3752,"TEMP201"
"4605",80521,"event",NA,9852,5902,"TEMP202"
"4605",80521,"bounds",NA,9612,3752,"TEMP201"
"4605",80522,"event",NA,9852,5902,"TEMP202"
"4605",80522,"bounds",NA,9612,3752,"TEMP201"
"4606",80523,"event",NA,12907,5000,"TEMP204"
"4606",80523,"bounds",NA,10282,5000,"TEMP203"
"4606",80524,"event",NA,12907,11700,"TEMP204"
"4606",80524,"bounds",NA,18012,11700,"TEMP203"
"4606",80525,"event",NA,12907,11700,"TEMP204"
"4606",80525,"bounds",NA,18012,11700,"TEMP203"
"4607",80528,"event",NA,2417,1607,"TEMP206"
"4607",80528,"bounds",NA,2742,1337,"TEMP205"
"4607",80530,"event",NA,4212,2137,"TEMP206"
"4607",80530,"bounds",NA,4292,1817,"TEMP205"
"4607",80532,"event",NA,5487,4087,"TEMP206"
"4607",80532,"bounds",NA,4972,3997,"TEMP205"
"4607",80533,"event",NA,6122,4087,"TEMP206"
"4607",80533,"bounds",NA,6637,3997,"TEMP205"
"4607",80534,"event",NA,5487,4212,"TEMP206"
"4607",80534,"bounds",NA,4972,4292,"TEMP205"
