"siteid","collectionunitid","datasetid","datasettype"
3744,4658,4803,"vertebrate"
3744,4658,61370,"geochron"
3745,4659,4804,"vertebrate"
3745,4659,9394,"geochron"
3748,4662,4807,"vertebrate"
3748,4662,9395,"geochron"
3750,4664,4809,"vertebrate"
3750,4664,9396,"geochron"
3757,4671,4816,"vertebrate"
3757,4671,9397,"geochron"
3759,4673,4818,"vertebrate"
3759,4673,9398,"geochron"
3760,4674,4819,"vertebrate"
3760,4674,9399,"geochron"
3761,4675,4820,"vertebrate"
3761,4675,9400,"geochron"
3762,4676,4821,"vertebrate"
3762,4676,9401,"geochron"
3763,4677,4822,"vertebrate"
3763,4677,9402,"geochron"
3764,4678,4823,"vertebrate"
3764,4678,9403,"geochron"
3765,4679,4824,"vertebrate"
3765,4679,9404,"geochron"
3766,4680,4825,"vertebrate"
3766,4680,9405,"geochron"
3767,4681,4826,"vertebrate"
3767,4681,9406,"geochron"
3769,4683,4828,"vertebrate"
3769,4683,9407,"geochron"
3770,4684,4829,"vertebrate"
3770,4684,9408,"geochron"
3772,4686,4831,"vertebrate"
3772,4686,9409,"geochron"
3774,4688,4833,"vertebrate"
3774,4688,9410,"geochron"
3777,4691,4836,"vertebrate"
3777,4691,9411,"geochron"
3787,4702,4847,"vertebrate"
3787,4702,9412,"geochron"
3788,4703,4848,"vertebrate"
3788,4703,9413,"geochron"
3789,4704,4849,"vertebrate"
3789,4704,9414,"geochron"
3791,4706,4851,"vertebrate"
3791,4706,9415,"geochron"
3798,4713,4858,"vertebrate"
3798,4713,9416,"geochron"
3798,4713,10616,NA
3803,4718,4863,"vertebrate"
3803,4718,9417,"geochron"
3805,4720,4865,"vertebrate"
3805,4720,9418,"geochron"
3807,4722,4867,"vertebrate"
3807,4722,9419,"geochron"
3809,4724,4869,"vertebrate"
3809,4724,9420,"geochron"
3809,4724,10619,NA
3810,4725,4870,"vertebrate"
3810,4725,9421,"geochron"
3810,4725,10620,NA
3816,4731,4876,"vertebrate"
3816,4731,9422,"geochron"
3817,4732,4877,"vertebrate"
3817,4732,9423,"geochron"
3817,4732,10621,NA
3818,4733,4878,"vertebrate"
3818,4733,61371,"geochron"
3819,4734,4879,"vertebrate"
3819,4734,61372,"geochron"
3820,4735,4880,"vertebrate"
3820,4735,9424,"geochron"
3821,4736,4881,"vertebrate"
3821,4736,9425,"geochron"
3823,4738,4883,"vertebrate"
3823,4738,9426,"geochron"
3823,4738,10623,NA
3831,4746,4891,"vertebrate"
3831,4746,9427,"geochron"
3834,4750,4895,"vertebrate"
3834,4750,9428,"geochron"
3834,4751,4896,"vertebrate"
3834,4751,9429,"geochron"
3834,4752,4897,"vertebrate"
3834,4752,9430,"geochron"
3834,4753,4898,"vertebrate"
3834,4753,9431,"geochron"
3834,4754,4899,"vertebrate"
3834,4754,9432,"geochron"
3840,4764,4909,"vertebrate"
3840,4764,9433,"geochron"
3841,4766,4911,"vertebrate"
3841,4766,9434,"geochron"
3842,4767,4912,"vertebrate"
3842,4767,9435,"geochron"
3844,4769,4914,"vertebrate"
3844,4769,9436,"geochron"
3846,4771,4916,"vertebrate"
3846,4771,9437,"geochron"
3847,4772,4917,"vertebrate"
3847,4772,9438,"geochron"
3849,4774,4919,"vertebrate"
3849,4774,9439,"geochron"
3850,4775,4920,"vertebrate"
3850,4775,9440,"geochron"
3853,4778,4923,"vertebrate"
3853,4778,9441,"geochron"
3854,4779,4924,"vertebrate"
3854,4779,9442,"geochron"
3855,4780,4925,"vertebrate"
3855,4780,9443,"geochron"
3857,4782,4927,"vertebrate"
3857,4782,9444,"geochron"
3859,4784,4929,"vertebrate"
3859,4784,9445,"geochron"
3862,4787,4932,"vertebrate"
3862,4787,9446,"geochron"
3864,4789,4934,"vertebrate"
3864,4789,9447,"geochron"
3865,4790,4935,"vertebrate"
3865,4790,9448,"geochron"
3865,4790,10632,NA
3866,4791,4936,"vertebrate"
3866,4791,9449,"geochron"
3867,4792,4937,"vertebrate"
3867,4792,9450,"geochron"
3869,4794,4939,"vertebrate"
3869,4794,9451,"geochron"
3870,4795,4940,"vertebrate"
3870,4795,9452,"geochron"
3870,4795,10633,NA
3872,4797,4942,"vertebrate"
3872,4797,9453,"geochron"
3874,4800,4945,"vertebrate"
3874,4800,9454,"geochron"
3875,4801,4946,"vertebrate"
3875,4801,9455,"geochron"
3877,4803,4948,"vertebrate"
3877,4803,9456,"geochron"
3879,4805,4950,"vertebrate"
3879,4805,9457,"geochron"
3880,4806,4951,"vertebrate"
3880,4806,61373,"geochron"
3881,4807,4952,"vertebrate"
3881,4807,9458,"geochron"
3882,4808,4953,"vertebrate"
3882,4808,9459,"geochron"
3883,4809,4954,"vertebrate"
3883,4809,9460,"geochron"
3883,4809,10634,NA
3885,4811,4956,"vertebrate"
3885,4811,9461,"geochron"
3887,4813,4958,"vertebrate"
3887,4813,9462,"geochron"
3888,4814,4959,"vertebrate"
3888,4814,9463,"geochron"
3888,4814,10636,NA
3892,4824,4969,"vertebrate"
3892,4824,9464,"geochron"
3900,4833,4978,"vertebrate"
3900,4833,9465,"geochron"
3902,4835,4980,"vertebrate"
3902,4835,9466,"geochron"
3904,4838,4983,"vertebrate"
3904,4838,9467,"geochron"
3904,4838,10639,NA
3904,4839,4984,"vertebrate"
3904,4839,9468,"geochron"
3904,4840,4985,"vertebrate"
3904,4840,9469,"geochron"
3905,4841,4986,"vertebrate"
3905,4841,9470,"geochron"
3906,4842,4987,"vertebrate"
3906,4842,9471,"geochron"
3907,4843,4988,"vertebrate"
3907,4843,9472,"geochron"
3908,4844,4989,"vertebrate"
3908,4844,9473,"geochron"
3909,4845,4990,"vertebrate"
3909,4845,9474,"geochron"
3912,4848,4993,"vertebrate"
3912,4848,61374,"geochron"
3915,4851,4996,"vertebrate"
3915,4851,9475,"geochron"
3915,4851,10642,NA
3918,4854,4999,"vertebrate"
3918,4854,10643,NA
3918,4854,61375,"geochron"
3919,4855,5000,"vertebrate"
3919,4855,9476,"geochron"
3923,4859,5004,"vertebrate"
3923,4859,9477,"geochron"
3925,4861,5006,"vertebrate"
3925,4861,9478,"geochron"
3926,4862,5007,"vertebrate"
3926,4862,9479,"geochron"
3927,4863,5008,"vertebrate"
3927,4863,9480,"geochron"
3928,4864,5009,"vertebrate"
3928,4864,9481,"geochron"
3932,4868,5013,"vertebrate"
3932,4868,9482,"geochron"
3935,4871,5016,"vertebrate"
3935,4871,9483,"geochron"
3936,4872,5017,"vertebrate"
3936,4872,9484,"geochron"
3939,4875,5020,"vertebrate"
3939,4875,9485,"geochron"
3940,4876,5021,"vertebrate"
3940,4876,9486,"geochron"
3943,4879,5024,"vertebrate"
3943,4879,9487,"geochron"
3944,4880,5025,"vertebrate"
3944,4880,9488,"geochron"
3948,4884,5029,"vertebrate"
3948,4884,9489,"geochron"
3952,4888,5033,"vertebrate"
3952,4888,9490,"geochron"
3953,4889,5034,"vertebrate"
3953,4889,9491,"geochron"
3954,4890,5035,"vertebrate"
3954,4890,9492,"geochron"
3955,4891,5036,"vertebrate"
3955,4891,9493,"geochron"
3956,4892,5037,"vertebrate"
3956,4892,9494,"geochron"
3957,4893,5038,"vertebrate"
3957,4893,61376,"geochron"
3958,4894,5039,"vertebrate"
3958,4894,9495,"geochron"
3959,4895,5040,"vertebrate"
3959,4895,9496,"geochron"
3960,4896,5041,"vertebrate"
3960,4896,9497,"geochron"
3961,4897,5042,"vertebrate"
3961,4897,9498,"geochron"
3969,4905,5050,"vertebrate"
3969,4905,9499,"geochron"
3971,4907,5052,"vertebrate"
3971,4907,9500,"geochron"
3972,4908,5053,"vertebrate"
3972,4908,9501,"geochron"
3973,4909,5054,"vertebrate"
3973,4909,9502,"geochron"
3974,4910,5055,"vertebrate"
3974,4910,9503,"geochron"
3975,4911,5056,"vertebrate"
3975,4911,9504,"geochron"
3977,4913,5058,"vertebrate"
3977,4913,9505,"geochron"
3978,4914,5059,"vertebrate"
3978,4914,9506,"geochron"
3980,4916,5061,"vertebrate"
3980,4916,9507,"geochron"
3981,4917,5062,"vertebrate"
3981,4917,9508,"geochron"
3982,4918,5063,"vertebrate"
3982,4918,9509,"geochron"
3984,4920,5065,"vertebrate"
3984,4920,9510,"geochron"
3984,4920,10651,NA
3985,4921,5066,"vertebrate"
3985,4921,9511,"geochron"
3986,4922,5067,"vertebrate"
3986,4922,9512,"geochron"
3987,4923,5068,"vertebrate"
3987,4923,9513,"geochron"
3988,4924,5069,"vertebrate"
3988,4924,9514,"geochron"
3996,4932,5077,"vertebrate"
3996,4932,9515,"geochron"
3999,4935,5080,"vertebrate"
3999,4935,9516,"geochron"
4002,4938,5083,"vertebrate"
4002,4938,9517,"geochron"
4011,4947,5092,"vertebrate"
4011,4947,9518,"geochron"
4016,4952,5097,"vertebrate"
4016,4952,9519,"geochron"
4017,4953,5098,"vertebrate"
4017,4953,9520,"geochron"
4018,4954,5099,"vertebrate"
4018,4954,9521,"geochron"
4019,4955,5100,"vertebrate"
4019,4955,61377,"geochron"
4020,4956,5101,"vertebrate"
4020,4956,9522,"geochron"
4021,4957,5102,"vertebrate"
4021,4957,61378,"geochron"
4022,4958,5103,"vertebrate"
4022,4958,61379,"geochron"
4026,4962,5107,"vertebrate"
4026,4962,9523,"geochron"
4027,4963,5108,"vertebrate"
