"TEMP_chronid","ndb.chronologies.chronologyid","ndb.chronologies.collectionunitid","ndb.chronologies.agemodel","ndb.chronologies.ageboundolder","ndb.chronologies.ageboundyounger","ndb.chronologies.dateprepared","ndb.chronologies.notes","ndb.chronologies.agetypeid","ndb.chronologies.contactid","ndb.chronologies.isdefault","ndb.chronologies.chronologyname"
"TEMP100",47058,4490,"event",35000,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP101",NA,4491,"bounds",48497,22772,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP102",NA,4491,"event",41347,26197,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP103",NA,4492,"bounds",21444,3464,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP104",NA,4492,"event",15854,9104,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP105",NA,4493,"bounds",18094,1934,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP106",NA,4493,"event",17374,2764,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP107",NA,4494,"bounds",5404,2694,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP108",NA,4494,"event",4574,3524,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP109",NA,4497,"bounds",12594,9084,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP110",NA,4497,"event",11484,10214,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP111",NA,4498,"bounds",36494,11024,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP112",NA,4498,"event",32904,13124,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP113",NA,4499,"bounds",1084,104,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP114",NA,4499,"event",734,454,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP115",NA,4500,"bounds",1244,334,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP116",NA,4500,"event",934,644,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP117",NA,4501,"bounds",1084,-75,45678,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP118",NA,4501,"event",654,244,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP119",NA,4503,"bounds",6934,2274,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP120",NA,4503,"event",5344,3854,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP121",NA,4504,"bounds",14800,-75,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP122",NA,4504,"event",14800,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP123",NA,4505,"bounds",30300,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP124",NA,4505,"event",27300,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP125",NA,4514,"bounds",2294,484,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP126",NA,4514,"event",1714,1104,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP127",NA,4520,"bounds",814,664,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP128",NA,4520,"event",764,724,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP129",NA,4523,"bounds",954,414,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP130",NA,4523,"event",764,594,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP131",NA,4525,"bounds",1594,454,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP132",NA,4525,"event",1244,794,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP133",NA,4529,"bounds",7084,4254,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP134",NA,4529,"event",6134,5204,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP135",NA,4531,"bounds",634,104,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP136",NA,4531,"event",474,294,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP137",NA,4533,"bounds",5334,784,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP138",NA,4533,"event",3954,2164,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP139",NA,4535,"bounds",844,624,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP140",NA,4535,"event",764,694,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP141",NA,4536,"bounds",1714,-46,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP142",NA,4536,"event",1284,350,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP143",NA,4537,"bounds",754,-75,45678,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP144",NA,4537,"event",484,184,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP145",NA,4538,"bounds",1244,844,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP146",NA,4538,"event",1124,964,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP147",NA,4539,"bounds",37144,1,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP148",NA,4539,"event",34544,1,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP149",NA,4540,"bounds",42854,6054,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP150",NA,4540,"event",31654,17254,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP151",NA,4541,"bounds",18777,11442,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP152",NA,4541,"event",17507,12472,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP153",NA,4542,"bounds",26000,414,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP154",NA,4542,"event",26000,654,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP155",NA,4544,"bounds",6074,2964,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP156",NA,4544,"event",5464,3484,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP157",NA,4553,"bounds",14834,1124,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP158",NA,4553,"event",14334,1352,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP159",NA,4564,"bounds",11654,10804,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP160",NA,4564,"event",11414,11094,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP161",NA,4565,"bounds",23464,17444,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP162",NA,4565,"event",21454,19454,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP163",NA,4566,"bounds",57700,19800,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP164",NA,4566,"event",45700,31400,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP165",NA,4567,"bounds",14994,8754,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP166",NA,4567,"event",12984,10764,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP167",NA,4568,"bounds",5954,3494,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP168",NA,4568,"event",5134,4324,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP169",NA,4570,"bounds",7624,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP170",NA,4570,"event",5274,57,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP171",NA,4571,"bounds",15504,12734,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP172",NA,4571,"event",14594,13654,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP173",NA,4577,"bounds",13354,-75,45678,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP174",NA,4577,"event",9154,3784,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP175",NA,4579,"bounds",20614,7394,45769,NA,3,6539,FALSE,"Syverson-Blois"
