"","collid","ndb.analysisunits.analysisunitid","ndb.analysisunits.analysisunitname","agemodel","ndb.chroncontrols.age","ndb.chroncontrols.agelimitolder","ndb.chroncontrols.agelimityounger","notes","ndb.chroncontrols.chroncontroltypeid","ndb.collections.collectionunitid","rerun.&amp;.check","ndb.chroncontrols.notes","TEMP_chronid"
"1469",18729,218799,"TA 15A","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1470",18729,218799,"TA 15A","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1471",18729,218800,"TA 18A","event",22927,24752,21282,"range of TA 18B",112,18729,FALSE,"inferred: range of TA 18B",NA
"1472",18729,218800,"TA 18A","bounds",NA,28282,17822,"range of TA 18B",112,18729,FALSE,"inferred: range of TA 18B",NA
"1473",18729,218802,"TA 2B","event",5132,5587,4662,"range of TA 2A",112,18729,FALSE,"inferred: range of TA 2A",NA
"1474",18729,218802,"TA 2B","bounds",NA,6592,3657,"range of TA 2A",112,18729,FALSE,"inferred: range of TA 2A",NA
"1475",18729,218804,"TA 12A","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1476",18729,218804,"TA 12A","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1477",18729,218805,"TA 14","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1478",18729,218805,"TA 14","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1479",18729,218806,"TA 1B","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1480",18729,218806,"TA 1B","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1481",18729,218807,"TA 3A","event",12382,13262,11507,"range of TA 3B",112,18729,FALSE,"inferred: range of TA 3B",NA
"1482",18729,218807,"TA 3A","bounds",NA,15147,9642,"range of TA 3B",112,18729,FALSE,"inferred: range of TA 3B",NA
"1483",18729,218808,"TA 1A","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1484",18729,218808,"TA 1A","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1485",18729,218810,"TA 16B","event",NA,20967,9827,"range of TA 16A & C",80,18729,FALSE,"inferred: range of TA 16A &amp; C",NA
"1486",18729,218810,"TA 16B","bounds",NA,29162,9477,"range of TA 16A & C",80,18729,FALSE,"inferred: range of TA 16A &amp; C",NA
"1487",18729,218814,"TA 13A","event",6672,7192,6152,"range of TA 13B",112,18729,FALSE,"inferred: range of TA 13B",NA
"1488",18729,218814,"TA 13A","bounds",NA,8272,5067,"range of TA 13B",112,18729,FALSE,"inferred: range of TA 13B",NA
"1489",18729,218816,"TA 20B","event",NA,2337,132,"range of TA 20A & C",80,18729,FALSE,"inferred: range of TA 20A &amp; C",NA
"1490",18729,218816,"TA 20B","bounds",NA,3427,-75,"range of TA 20A & C",80,18729,FALSE,"inferred: range of TA 20A &amp; C",NA
"1491",18729,218817,"TA11","event",NA,29162,-75,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1492",18729,218817,"TA11","bounds",NA,24752,132,"full range of dated units in collection",80,18729,FALSE,"inferred: full range of dated units in collection",NA
"1493",18761,219548,"Late Holocene Quarry Spoil, AU21/AU22","event",1527,1597,1447,"range of Late Holocene Quarry Spoil, AU2Q",80,18761,FALSE,"inferred: range of Late Holocene Quarry Spoil, AU2Q",NA
"1494",18761,219548,"Late Holocene Quarry Spoil, AU21/AU22","bounds",NA,1717,1352,"range of Late Holocene Quarry Spoil, AU2Q",80,18761,FALSE,"inferred: range of Late Holocene Quarry Spoil, AU2Q",NA
"1495",18761,219551,"Paleoindian Quarry Spoil, AU5Q","event",NA,11700,9832,"below Leonard Paleosol; Holocene",37,18761,FALSE,"inferred: below Leonard Paleosol; Holocene",NA
"1496",18761,219551,"Paleoindian Quarry Spoil, AU5Q","bounds",NA,11700,10222,"below Leonard Paleosol; Holocene",37,18761,FALSE,"inferred: below Leonard Paleosol; Holocene",NA
